F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,TARGET
0.055555556,0.222222222,0.111111111,0.055555556,0,0.444444444,0.277777778,0.111111111,0.222222222,0,0.055555556,0.277777778,0.166666667,0.166666667,0.166666667,0.111111111,0.277777778,0.055555556,0,0.277777778,0.055555556,0.111111111,0.388888889,0.055555556,0.055555556,0.277777778,0,0,0.055555556,0.388888889,0.277777778,0,0,0.333333333,0.055555556,0,0.222222222,0.166666667,0.055555556,0.042360093
0.1875,0.3125,0.1875,0.0625,0.0625,0.4375,0.375,0.1875,0.1875,0,0.0625,0.4375,0.1875,0.3125,0.1875,0.1875,0.3125,0.1875,0.0625,0.4375,0.0625,0.1875,0.4375,0.0625,0.125,0.375,0.125,0.125,0.125,0.375,0.5,0,0,0.4375,0.0625,0.0625,0.4375,0.0625,0.0625,0.086140735
0.25,0.25,0.25,0.0625,0.0625,0.5625,0.3125,0.25,0.25,0,0.0625,0.4375,0.25,0.25,0.25,0.1875,0.3125,0.1875,0.0625,0.4375,0.0625,0.1875,0.4375,0.0625,0.125,0.375,0.125,0.125,0.125,0.375,0.5,0,0,0.4375,0.0625,0.0625,0.375,0.125,0.125,0.114486738
0.25,0.25,0.25,0.1875,0.0625,0.4375,0.375,0.1875,0.1875,0.0625,0.125,0.375,0.1875,0.3125,0.1875,0.1875,0.3125,0.1875,0.0625,0.4375,0.0625,0.1875,0.4375,0.0625,0.125,0.375,0.125,0.125,0.125,0.375,0.5,0,0,0.375,0.125,0.125,0.3125,0.1875,0.1875,0.565951624
0.176470588,0.235294118,0.176470588,0.176470588,0.058823529,0.352941176,0.352941176,0.117647059,0.176470588,0,0.058823529,0.352941176,0.117647059,0.294117647,0.117647059,0.176470588,0.235294118,0.176470588,0.117647059,0.294117647,0.117647059,0.176470588,0.411764706,0.058823529,0.117647059,0.294117647,0.117647059,0.117647059,0.117647059,0.352941176,0.411764706,0,0,0.294117647,0.117647059,0.117647059,0.352941176,0.058823529,0.058823529,0.693595548
0.1875,0.3125,0.1875,0.125,0,0.5,0.375,0.1875,0.1875,0,0.0625,0.4375,0.1875,0.3125,0.1875,0.125,0.375,0.125,0.0625,0.4375,0.0625,0.0625,0.4375,0.0625,0.0625,0.4375,0.0625,0.0625,0.0625,0.4375,0.5,0,0,0.4375,0.0625,0.0625,0.375,0.125,0.125,0.225972335
0.055555556,0.166666667,0.166666667,0.055555556,0,0.444444444,0.277777778,0.111111111,0.222222222,0,0.055555556,0.277777778,0.166666667,0.111111111,0.222222222,0.111111111,0.222222222,0.111111111,0,0.222222222,0.055555556,0.111111111,0.333333333,0.055555556,0.111111111,0.222222222,0,0.055555556,0.055555556,0.333333333,0.222222222,0,0,0.333333333,0.055555556,0,0.166666667,0.166666667,0.055555556,0.178694784
0.125,0.125,0.3125,0.375,0.1875,0.125,0.375,0.1875,0,0.25,0.25,0.1875,0.375,0.1875,0.125,0.1875,0.0625,0.375,0.125,0.25,0.3125,0.1875,0.25,0.125,0.3125,0.125,0.125,0.1875,0.25,0.125,0.125,0,0.125,0.125,0.125,0.4375,0.25,0.25,0,64.0369335
0.2,0.133333333,0.2,0.266666667,0,0.2,0.333333333,0.066666667,0.133333333,0.266666667,0.2,0.133333333,0.4,0.066666667,0.266666667,0.266666667,0.2,0.133333333,0.066666667,0.4,0.066666667,0.466666667,0.2,0.266666667,0.2,0.133333333,0.2,0.2,0.2,0.266666667,0.333333333,0,0,0.266666667,0.2,0.066666667,0.266666667,0.2,0.066666667,64.11071348
0.115384615,0.269230769,0.230769231,0.038461538,0.153846154,0.423076923,0.115384615,0.307692308,0.192307692,0.115384615,0.269230769,0.307692308,0.346153846,0.230769231,0.115384615,0.192307692,0.346153846,0.076923077,0.038461538,0.346153846,0.230769231,0.192307692,0.153846154,0.230769231,0.269230769,0.307692308,0.076923077,0.115384615,0.153846154,0.230769231,0.384615385,0,0,0.269230769,0.115384615,0.153846154,0.346153846,0.192307692,0.038461538,4.81395996
